"Time","ICMPv4","TCP","UDP"
2023-02-23 04:54:00,0.180,115,1.80
2023-02-23 04:56:00,0.180,43.9,0.440
2023-02-23 04:58:00,0.180,44.1,0.400
2023-02-23 05:00:00,0.180,44.1,1.88
2023-02-23 05:02:00,0.180,43.5,0.380
2023-02-23 05:04:00,0.180,130,1.80
2023-02-23 05:06:00,0.180,43.7,0.400
2023-02-23 05:08:00,0.180,43.7,0.0800
2023-02-23 05:10:00,0.180,43.7,1.94
2023-02-23 05:12:00,0.180,43.3,0.0800
2023-02-23 05:14:00,0.180,146,2.20
2023-02-23 05:16:00,0.180,43.4,0.0800
2023-02-23 05:18:00,0.180,44.2,0.420
2023-02-23 05:20:00,0.180,44.3,1.58
2023-02-23 05:22:00,0.180,42.9,0.420
2023-02-23 05:24:00,0.180,145,1.84
