"Time","cattle-fleet-local-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-17 12:16:00,0,35110,153386,0,62320,0,0,0,16524
2023-03-17 12:20:00,0,32322,6135,0,29059,0,0,0,16252
2023-03-17 12:24:00,0,35778,227645,0,31068,0,0,0,15533
2023-03-17 12:28:00,0,33821,230218,0,30562,0,0,0,15897
2023-03-17 12:32:00,0,34151,223885,0,63024,0,0,0,16229
2023-03-17 12:36:00,0,35965,222482,0,29327,0,0,0,16845
2023-03-17 12:40:00,0,33774,6035,0,26919,0,0,0,15820
2023-03-17 12:44:00,0,33288,225425,0,28762,0,0,0,15592
2023-03-17 12:48:00,0,33741,233479,0,28082,0,0,0,15832
2023-03-17 12:52:00,0,32202,227852,0,30012,0,0,0,16332
2023-03-17 12:56:00,0,36803,219723,0,31402,0,0,0,15968
2023-03-17 13:00:00,0,34943,5967,0,28587,0,0,0,16052
2023-03-17 13:04:00,0,239925,224671,0,94745,0,0,0,15809
2023-03-17 13:08:00,0,35053,232401,0,32257,0,0,0,15999
2023-03-17 13:12:00,0,37217,233334,0,28671,0,0,0,16100
2023-03-17 13:16:00,0,36333,216104,0,28988,0,0,0,16553
2023-03-17 13:20:00,0,34958,5991,0,29176,0,0,0,16083
2023-03-17 13:24:00,0,35643,233360,0,27437,0,0,0,15500
2023-03-17 13:28:00,0,35922,227734,0,27927,0,0,0,16169
2023-03-17 13:32:00,0,35625,222141,0,64295,0,0,0,16602
2023-03-17 13:36:00,0,35612,222352,0,30075,0,0,0,15820
2023-03-17 13:40:00,0,35262,6116,0,28665,0,0,0,16258
2023-03-17 13:44:00,0,34270,222514,0,61709,0,0,0,15537
2023-03-17 13:48:00,0,37001,234720,0,30423,0,0,0,15987
2023-03-17 13:52:00,0,36205,220949,0,27582,0,0,0,16280
2023-03-17 13:56:00,0,35664,227981,0,31342,0,0,0,16337
2023-03-17 14:00:00,0,35806,5867,0,27799,0,0,0,16173
2023-03-17 14:04:00,0,556088,231588,0,277058,0,0,0,15600
2023-03-17 14:08:00,0,34548,239436,0,29313,0,0,0,15552
2023-03-17 14:12:00,0,33245,231738,0,29272,0,0,0,16975
2023-03-17 14:16:00,0,33722,225290,0,63574,0,0,0,15788
2023-03-17 14:20:00,0,34009,6181,0,26234,0,0,0,16224
2023-03-17 14:24:00,0,33493,221111,0,29233,0,0,0,15539
2023-03-17 14:28:00,0,34619,230925,0,31791,0,0,0,15637
2023-03-17 14:32:00,0,34864,227527,0,60416,0,0,0,16787
2023-03-17 14:36:00,0,32900,222186,0,29364,0,0,0,16496
2023-03-17 14:40:00,0,34865,5918,0,29241,0,0,0,15897
2023-03-17 14:44:00,0,34623,229238,0,28976,0,0,0,15801
2023-03-17 14:48:00,0,33524,228584,0,28310,0,0,0,15790
2023-03-17 14:52:00,0,34842,227338,0,30974,0,0,0,16375
2023-03-17 14:56:00,0,35467,224166,0,28153,0,0,0,16354
2023-03-17 15:00:00,0,35452,6021,0,27732,0,0,0,15611
2023-03-17 15:04:00,0,239608,228326,0,101823,0,0,0,16132
2023-03-17 15:08:00,0,34811,224040,0,27073,0,0,0,15783
2023-03-17 15:12:00,0,36341,237303,0,29071,0,0,0,16559
2023-03-17 15:16:00,0,35939,217142,0,30292,0,0,0,16356
2023-03-17 15:20:00,0,34576,5852,0,28357,0,0,0,15600
2023-03-17 15:24:00,0,33675,232631,0,30146,0,0,0,16090
2023-03-17 15:28:00,0,37205,225255,0,29551,0,0,0,15770
2023-03-17 15:32:00,0,33163,230177,0,63727,0,0,0,16218
2023-03-17 15:36:00,0,32372,224485,0,29987,0,0,0,16185
2023-03-17 15:40:00,0,35721,6012,0,29885,0,0,0,15766
2023-03-17 15:44:00,0,33238,226982,0,63801,0,0,0,16218
2023-03-17 15:48:00,0,36652,224273,0,26571,0,0,0,15435
2023-03-17 15:52:00,0,34232,235216,0,30755,0,0,0,16280
2023-03-17 15:56:00,0,32128,224518,0,28448,0,0,0,16428
