"Time","0(172.16.66.122:10250)","0(172.16.66.122:6443)","200(172.16.66.122:10250)","200(172.16.66.122:6443)","201(172.16.66.122:10250)","201(172.16.66.122:6443)","403(172.16.66.122:10250)","403(172.16.66.122:6443)","404(172.16.66.122:10250)","404(172.16.66.122:6443)","409(172.16.66.122:10250)","409(172.16.66.122:6443)","422(172.16.66.122:10250)","422(172.16.66.122:6443)","500(172.16.66.122:10250)","500(172.16.66.122:6443)","504(172.16.66.122:10250)","504(172.16.66.122:6443)"
2023-03-11 15:08:00,0,0,19.6,19.7,0.378,0.378,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 15:10:00,0,0,20.1,20.1,0.361,0.333,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 15:12:00,0,0,19.8,19.6,0.356,0.378,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 15:14:00,0,0,19.4,19.6,0.372,0.372,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 15:16:00,0,0,20.2,20.3,0.339,0.333,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 15:18:00,0,0,19.8,19.5,0.383,0.367,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 15:20:00,0,0,19.7,19.6,0.389,0.333,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 15:22:00,0,0,19.8,19.8,0.322,0.361,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 15:24:00,0,0,19.9,19.8,0.417,0.483,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 15:26:00,0,0,20.2,20.0,0.483,0.500,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 15:28:00,0,0,19.8,19.2,0.556,0.583,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 15:30:00,0,0,19.6,20.2,0.594,0.494,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 15:32:00,0,0,19.9,19.8,0.444,0.383,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 15:34:00,0,0,19.7,19.8,0.428,0.411,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 15:36:00,0,0,19.9,20.0,0.444,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
