"Time","ct4_global delete","ct4_global delete","ct4_global delete","ct_any4_global delete","ct_any4_global delete","ct_any4_global delete","ipcache update","ipcache update","ipcache update","lxc update","lxc update","lxc update","snat_v4_external delete","snat_v4_external delete","snat_v4_external delete","tunnel_map update","tunnel_map update","tunnel_map update"
2023-03-15 17:50:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 17:52:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 17:54:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 17:56:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 17:58:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 18:00:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 18:02:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 18:04:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 18:06:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 18:08:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 18:10:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 18:12:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 18:14:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 18:16:00,,,32.5,,,3.99,0.0517,,0.0517,,,,,,0.366,,,
2023-03-15 18:18:00,,,32.5,,,3.99,0.0517,,0.0517,,,,,,0.366,,,
2023-03-15 18:20:00,,,32.5,,,3.99,0.0517,,0.0517,,,,,,0.366,,,
2023-03-15 18:22:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
