"Time","FIN","RST","SYN","SYN-ACK"
2023-03-11 22:58:00,15.8,2.68,10.6,9.08
2023-03-11 23:00:00,15.7,2.72,10.5,9.02
2023-03-11 23:02:00,15.6,2.72,10.3,8.94
2023-03-11 23:04:00,15.6,2.72,10.5,9.02
2023-03-11 23:06:00,15.6,2.70,10.5,9.02
2023-03-11 23:08:00,15.8,2.76,10.6,9.08
2023-03-11 23:10:00,15.7,2.80,10.4,9
2023-03-11 23:12:00,15.8,2.72,10.5,9.02
2023-03-11 23:14:00,15.7,2.88,10.5,9.04
2023-03-11 23:16:00,15.8,2.76,10.5,9.06
2023-03-11 23:18:00,15.8,2.78,10.6,9.08
2023-03-11 23:20:00,15.6,2.68,10.3,8.94
2023-03-11 23:22:00,20.9,4.78,13.4,11.5
2023-03-11 23:24:00,15.5,2.64,10.3,8.94
2023-03-11 23:26:00,15.8,2.66,10.6,9.10
2023-03-11 23:28:00,15.8,2.80,10.5,9.06
2023-03-11 23:30:00,15.7,2.74,10.5,9.02
2023-03-11 23:32:00,24.2,9.30,15.5,12.6
2023-03-11 23:34:00,15.6,2.68,10.3,8.94
2023-03-11 23:36:00,15.8,2.86,10.6,9.10
2023-03-11 23:38:00,15.6,2.68,10.4,9
2023-03-11 23:40:00,15.7,2.72,10.5,9.02
2023-03-11 23:42:00,27.2,13.4,17.5,13.6
2023-03-11 23:44:00,15.6,2.64,10.5,9.02
2023-03-11 23:46:00,15.6,2.72,10.6,9.10
2023-03-11 23:48:00,15.9,2.80,10.5,9.06
2023-03-11 23:50:00,15.7,2.74,10.5,9.02
2023-03-11 23:52:00,30.4,17.6,19.7,14.7
2023-03-11 23:54:00,15.7,2.70,10.5,9.02
2023-03-11 23:56:00,15.6,2.78,10.5,9.02
2023-03-11 23:58:00,15.8,2.68,10.5,9.06
2023-03-12 00:00:00,15.6,2.72,10.3,8.94
2023-03-12 00:02:00,34.1,22.4,22.2,15.9
2023-03-12 00:04:00,15.7,2.70,10.5,9.02
2023-03-12 00:06:00,15.8,2.76,10.5,9.06
2023-03-12 00:08:00,15.8,2.76,10.6,9.08
2023-03-12 00:10:00,15.6,2.76,10.4,9
2023-03-12 00:12:00,37.1,26.5,24.2,16.9
2023-03-12 00:14:00,15.6,2.76,10.3,8.94
2023-03-12 00:16:00,15.7,2.82,10.6,9.10
2023-03-12 00:18:00,15.6,2.66,10.4,9
2023-03-12 00:20:00,15.8,2.74,10.5,9.02
2023-03-12 00:22:00,37.2,26.9,24.5,16.9
2023-03-12 00:24:00,15.7,2.62,10.3,8.92
2023-03-12 00:26:00,15.8,2.88,10.6,9.10
2023-03-12 00:28:00,15.8,2.62,10.5,9.06
2023-03-12 00:30:00,15.8,2.74,10.5,9.02
2023-03-12 00:32:00,37.2,26.8,24.3,16.8
2023-03-12 00:34:00,15.7,2.72,10.5,9.02
2023-03-12 00:36:00,15.5,2.74,10.5,9.02
2023-03-12 00:38:00,15.8,2.70,10.6,9.08
2023-03-12 00:40:00,15.6,2.82,10.5,9.04
