"Time","192.168.0.211:10250 pod","192.168.0.221:10250 pod","192.168.0.222:10250 pod","192.168.0.211:10250 worker","192.168.0.221:10250 worker","192.168.0.222:10250 worker"
2023-03-14 11:40:00,0,0,0,0.450,0.392,0.400
2023-03-14 11:44:00,0,0,0,0.437,0.396,0.400
2023-03-14 11:48:00,0,0,0,0.438,0.408,0.392
2023-03-14 11:52:00,0,0,0,0.425,0.404,0.396
2023-03-14 11:56:00,0,0,0,0.429,0.396,0.408
2023-03-14 12:00:00,0,0,0,0.454,0.408,0.396
2023-03-14 12:04:00,0,0,0,0.433,0.400,0.400
2023-03-14 12:08:00,0,0,0,0.433,0.383,0.404
2023-03-14 12:12:00,0,0,0,0.438,0.413,0.400
2023-03-14 12:16:00,0,0,0,0.442,0.388,0.375
2023-03-14 12:20:00,0,0,0,0.433,0.417,0.421
2023-03-14 12:24:00,0,0,0,0.408,0.388,0.392
2023-03-14 12:28:00,0,0,0,0.463,0.400,0.392
2023-03-14 12:32:00,0,0,0,0.442,0.404,0.408
2023-03-14 12:36:00,0,0,0,0.425,0.388,0.396
2023-03-14 12:40:00,0,0,0,0.442,0.396,0.388
2023-03-14 12:44:00,0,0,0,0.438,0.396,0.388
2023-03-14 12:48:00,0,0,0,0.442,0.400,0.408
2023-03-14 12:52:00,0,0,0,0.429,0.383,0.413
2023-03-14 12:56:00,0,0,0,0.425,0.396,0.392
2023-03-14 13:00:00,0,0,0,0.450,0.396,0.396
2023-03-14 13:04:00,0,0,0,0.425,0.388,0.388
2023-03-14 13:08:00,0,0,0,0.442,0.408,0.413
2023-03-14 13:12:00,0,0,0,0.438,0.404,0.388
2023-03-14 13:16:00,0,0,0,0.442,0.400,0.396
2023-03-14 13:20:00,0,0,0,0.429,0.392,0.392
2023-03-14 13:24:00,0,0,0,0.429,0.383,0.404
2023-03-14 13:28:00,0,0,0,0.438,0.404,0.396
2023-03-14 13:32:00,0,0,0,0.450,0.388,0.388
2023-03-14 13:36:00,0,0,0,0.421,0.413,0.413
2023-03-14 13:40:00,0,0,0,0.433,0.396,0.375
