"Time","avg","min","max"
2023-03-17 10:00:00,87.2,87.2,87.2
2023-03-17 10:02:00,87.2,87.2,87.2
2023-03-17 10:04:00,85.3,85.3,85.3
2023-03-17 10:06:00,89.6,89.6,89.6
2023-03-17 10:08:00,179,179,179
2023-03-17 10:10:00,86.1,86.1,86.1
2023-03-17 10:12:00,88.6,88.6,88.6
2023-03-17 10:14:00,86.9,86.9,86.9
2023-03-17 10:16:00,90.4,90.4,90.4
2023-03-17 10:18:00,99.4,99.4,99.4
2023-03-17 10:20:00,86.2,86.2,86.2
2023-03-17 10:22:00,88.5,88.5,88.5
2023-03-17 10:24:00,85.2,85.2,85.2
2023-03-17 10:26:00,91.0,91.0,91.0
2023-03-17 10:28:00,85.6,85.6,85.6
2023-03-17 10:30:00,86.4,86.4,86.4
2023-03-17 10:32:00,87.4,87.4,87.4
2023-03-17 10:34:00,86.1,86.1,86.1
2023-03-17 10:36:00,90.8,90.8,90.8
2023-03-17 10:38:00,86.2,86.2,86.2
2023-03-17 10:40:00,137,137,137
2023-03-17 10:42:00,86.6,86.6,86.6
2023-03-17 10:44:00,87.1,87.1,87.1
2023-03-17 10:46:00,91.2,91.2,91.2
2023-03-17 10:48:00,85.6,85.6,85.6
2023-03-17 10:50:00,213,213,213
2023-03-17 10:52:00,88.7,88.7,88.7
2023-03-17 10:54:00,85.8,85.8,85.8
2023-03-17 10:56:00,90.8,90.8,90.8
2023-03-17 10:58:00,85.6,85.6,85.6
2023-03-17 11:00:00,173,173,173
2023-03-17 11:02:00,87.5,87.5,87.5
2023-03-17 11:04:00,86.9,86.9,86.9
2023-03-17 11:06:00,92.1,92.1,92.1
2023-03-17 11:08:00,87.3,87.3,87.3
2023-03-17 11:10:00,93.0,93.0,93.0
2023-03-17 11:12:00,87.0,87.0,87.0
2023-03-17 11:14:00,87.1,87.1,87.1
2023-03-17 11:16:00,91.5,91.5,91.5
2023-03-17 11:18:00,84.4,84.4,84.4
2023-03-17 11:20:00,86.0,86.0,86.0
2023-03-17 11:22:00,86.7,86.7,86.7
2023-03-17 11:24:00,86.3,86.3,86.3
2023-03-17 11:26:00,89.4,89.4,89.4
2023-03-17 11:28:00,85.7,85.7,85.7
2023-03-17 11:30:00,86.9,86.9,86.9
2023-03-17 11:32:00,145,145,145
2023-03-17 11:34:00,88.0,88.0,88.0
2023-03-17 11:36:00,91.2,91.2,91.2
2023-03-17 11:38:00,87.3,87.3,87.3
2023-03-17 11:40:00,87.4,87.4,87.4
2023-03-17 11:42:00,217,217,217
2023-03-17 11:44:00,89.4,89.4,89.4
2023-03-17 11:46:00,91.3,91.3,91.3
2023-03-17 11:48:00,86.7,86.7,86.7
2023-03-17 11:50:00,85.2,85.2,85.2
2023-03-17 11:52:00,160,160,160
2023-03-17 11:54:00,86.1,86.1,86.1
2023-03-17 11:56:00,89.1,89.1,89.1
2023-03-17 11:58:00,84.9,84.9,84.9
2023-03-17 12:00:00,86.8,86.8,86.8
2023-03-17 12:02:00,86.8,86.8,86.8
2023-03-17 12:04:00,86.2,86.2,86.2
2023-03-17 12:06:00,99.7,99.7,99.7
2023-03-17 12:08:00,86.9,86.9,86.9
2023-03-17 12:10:00,89.8,89.8,89.8
2023-03-17 12:12:00,87.9,87.9,87.9
2023-03-17 12:14:00,87.2,87.2,87.2
2023-03-17 12:16:00,89.1,89.1,89.1
2023-03-17 12:18:00,86.1,86.1,86.1
2023-03-17 12:20:00,85.8,85.8,85.8
2023-03-17 12:22:00,89.4,89.4,89.4
2023-03-17 12:24:00,158,158,158
2023-03-17 12:26:00,92.4,92.4,92.4
2023-03-17 12:28:00,88.5,88.5,88.5
2023-03-17 12:30:00,87.1,87.1,87.1
2023-03-17 12:32:00,87.9,87.9,87.9
2023-03-17 12:34:00,220,220,220
2023-03-17 12:36:00,91.7,91.7,91.7
2023-03-17 12:38:00,87.4,87.4,87.4
2023-03-17 12:40:00,86.9,86.9,86.9
2023-03-17 12:42:00,88.6,88.6,88.6
2023-03-17 12:44:00,150,150,150
2023-03-17 12:46:00,92.2,92.2,92.2
2023-03-17 12:48:00,88.7,88.7,88.7
2023-03-17 12:50:00,87.2,87.2,87.2
2023-03-17 12:52:00,89.7,89.7,89.7
2023-03-17 12:54:00,86.1,86.1,86.1
2023-03-17 12:56:00,93.4,93.4,93.4
2023-03-17 12:58:00,88.5,88.5,88.5
2023-03-17 13:00:00,87.2,87.2,87.2
2023-03-17 13:02:00,89.6,89.6,89.6
2023-03-17 13:04:00,85.8,85.8,85.8
2023-03-17 13:06:00,96.8,96.8,96.8
