"Time","failure","success","failure","success","failure","success"
2023-03-22 06:52:00,,0.0000388,,0.0000382,,0.0000432
2023-03-22 06:54:00,,0.0000498,,0.0000460,,0.0000346
2023-03-22 06:56:00,,0.0000369,,0.0000535,,0.0000455
2023-03-22 06:58:00,,0.0000395,,0.0000447,,0.0000364
2023-03-22 07:00:00,,0.0000378,,0.0000683,,0.0000366
2023-03-22 07:02:00,,0.0000423,,0.0000479,,0.0000489
2023-03-22 07:04:00,,0.0000482,,0.0000374,,0.0000409
2023-03-22 07:06:00,,0.0000455,,0.0000349,,0.0000365
2023-03-22 07:08:00,,0.0000466,,0.0000461,,0.0000367
2023-03-22 07:10:00,,0.0000405,,0.0000452,,0.0000508
2023-03-22 07:12:00,,0.0000388,,0.0000505,,0.0000356
2023-03-22 07:14:00,,0.0000482,,0.0000363,,0.0000363
2023-03-22 07:16:00,,0.0000467,,0.0000452,,0.0000428
2023-03-22 07:18:00,,0.0000370,,0.0000449,,0.0000383
2023-03-22 07:20:00,,0.0000469,,0.0000357,,0.0000358
2023-03-22 07:22:00,,0.0000368,,0.0000397,,0.0000434
2023-03-22 07:24:00,,0.0000452,,0.0000358,,0.0000446
2023-03-22 07:26:00,,0.0000478,,0.0000408,,0.0000367
2023-03-22 07:28:00,,0.0000382,,0.0000458,,0.0000365
2023-03-22 07:30:00,,0.0000487,,0.0000367,,0.0000366
2023-03-22 07:32:00,,0.0000457,,0.0000398,,0.0000516
2023-03-22 07:34:00,,0.0000761,,0.0000546,,0.0000464
2023-03-22 07:36:00,,0.0000369,,0.0000437,,0.0000369
2023-03-22 07:38:00,,0.0000374,,0.0000387,,0.0000516
2023-03-22 07:40:00,,0.0000471,,0.0000371,,0.0000354
2023-03-22 07:42:00,,0.0000401,,0.0000584,,0.0000431
2023-03-22 07:44:00,,0.0000478,,0.0000550,,0.0000434
2023-03-22 07:46:00,,0.0000361,,0.0000356,,0.0000447
2023-03-22 07:48:00,,0.0000481,,0.0000479,,0.0000468
