"Time","Read (192.168.0.211:9796)","Read (192.168.0.221:9796)","Read (192.168.0.222:9796)","Write (192.168.0.211:9796)","Write (192.168.0.221:9796)","Write (192.168.0.222:9796)"
2023-03-22 10:16:00,0,0,0,574214,145863,82375
2023-03-22 10:18:00,0,0,0,740329,174262,221912
2023-03-22 10:20:00,0,0,501,553870,91432,90066
2023-03-22 10:22:00,0,0,0,706514,174672,165114
2023-03-22 10:24:00,0,0,0,679708,116463,175946
2023-03-22 10:26:00,0,0,91.0,597242,154197,89520
2023-03-22 10:28:00,0,0,91.0,722807,176583,182727
2023-03-22 10:30:00,0,0,0,577764,90522,80919
2023-03-22 10:32:00,0,0,0,692452,175673,210489
2023-03-22 10:34:00,0,0,0,692133,111366,221730
2023-03-22 10:36:00,0,0,0,577320,148275,91568
2023-03-22 10:38:00,0,0,0,720395,183865,168619
2023-03-22 10:40:00,0,0,0,547999,91568,78006
2023-03-22 10:42:00,0,0,0,724491,180224,179951
2023-03-22 10:44:00,0,0,0,669969,119558,172760
2023-03-22 10:46:00,0,0,0,636974,152235,80191
2023-03-22 10:48:00,0,0,0,701690,181316,170257
2023-03-22 10:50:00,0,0,0,543221,96620,82057
2023-03-22 10:52:00,0,0,0,720350,183774,170985
2023-03-22 10:54:00,0,0,0,680391,115780,160290
2023-03-22 10:56:00,0,0,0,598517,149959,89429
2023-03-22 10:58:00,0,0,0,739191,178176,184814
2023-03-22 11:00:00,0,0,0,581996,98213,83149
2023-03-22 11:02:00,0,0,0,698505,452198,262508
2023-03-22 11:04:00,0,0,0,673155,392215,266422
2023-03-22 11:06:00,0,0,0,603204,149185,80828
2023-03-22 11:08:00,0,0,0,719713,182818,168164
2023-03-22 11:10:00,0,0,0,546497,98486,81783
2023-03-22 11:12:00,0,0,0,725311,180178,166298
2023-03-22 11:14:00,0,0,0,700735,111998,170121
2023-03-22 11:16:00,0,0,0,624367,152553,83695
2023-03-22 11:18:00,0,0,0,720304,177129,173761
2023-03-22 11:20:00,0,0,0,539352,89839,82376
2023-03-22 11:22:00,0,0,0,698596,178085,237932
2023-03-22 11:24:00,0,0,0,677934,116144,244941
2023-03-22 11:26:00,0,0,0,628099,147183,86653
2023-03-22 11:28:00,0,0,0,721306,174717,173534
2023-03-22 11:30:00,0,0,0,538078,89020,80282
2023-03-22 11:32:00,0,0,0,714160,172851,214949
2023-03-22 11:34:00,0,0,0,671562,106132,223505
2023-03-22 11:36:00,0,0,0,616767,150096,90158
2023-03-22 11:38:00,0,0,0,736779,178950,173306
2023-03-22 11:40:00,0,0,0,546679,91705,78734
2023-03-22 11:42:00,0,0,0,714752,173397,214767
2023-03-22 11:44:00,0,0,0,676614,111821,228602
2023-03-22 11:46:00,0,0,0,583908,147911,96529
2023-03-22 11:48:00,0,0,0,727723,181771,171861
2023-03-22 11:50:00,0,0,0,580949,89429,89702
2023-03-22 11:52:00,0,0,0,714479,173670,173215
2023-03-22 11:54:00,0,0,0,669150,121333,168801
2023-03-22 11:56:00,0,0,0,613171,154010,71498
2023-03-22 11:58:00,0,0,0,736324,181498,161519
2023-03-22 12:00:00,0,0,0,541628,88155,82466
2023-03-22 12:02:00,0,0,0,716982,2046862,1411482
2023-03-22 12:04:00,0,0,0,659365,123062,179086
2023-03-22 12:06:00,0,0,319,597242,198019,79326
2023-03-22 12:08:00,0,0,319,792986,229922,167936
2023-03-22 12:10:00,0,0,0,567250,94254,85561
2023-03-22 12:12:00,0,0,0,805183,173170,224828
2023-03-22 12:14:00,0,0,0,680619,111411,219500
2023-03-22 12:16:00,0,0,0,632688,152235,93389
